"County Name","GEOID","EnviroScreen Score","EnviroScreen Score Percentile","Pollution and Climate Burden Score","Pollution and Climate Burden Score Percentile","Pollution and Climate Burden Scale Value","Health and Social Factors Score","Health and Social Factors Score Percentile","Health and Social Factors Scale Value","Environmental Exposures Score","Environmental Effects Score","Climate Vulnerability Score","Sensitive Populations Score","Demographics Score","Environmental Exposures Score Percentile","Environmental Effects Score Percentile","Climate Vulnerability Score Percentile","Sensitive Populations Score Percentile","Demographics Score Percentile","Ozone","Ozone Percentile","Fine particle pollution","Fine particle pollution Percentile","Lead exposure risk","Lead exposure risk Percentile","Diesel particulate matter (PM)","Diesel particulate matter (PM) Percentile","Traffic proximity & volume","Traffic proximity & volume Percentile","Air toxics emissions","Air toxics emissions Percentile","Other air pollutants","Other air pollutants Percentile","Drinking water regulations","Drinking water regulations Percentile","Noise","Noise Percentile","Wastewater discharge indicator","Wastewater discharge indicator Percentile","Proximity to National Priorities List sites","Proximity to National Priorities List sites Percentile","Proximity to Risk Management Plan sites","Proximity to Risk Management Plan sites Percentile","Proximity to hazardous waste facilities","Proximity to hazardous waste facilities Percentile","Proximity to oil and gas","Proximity to oil and gas Percentile","Proximity to mining locations","Proximity to mining locations Percentile","Impaired streams and rivers","Impaired streams and rivers Percentile","Wildfire risk","Wildfire risk Percentile","Floodplains","Floodplains Percentile","Drought","Drought Percentile","Extreme heat days","Extreme heat days Percentile","Population under 5","Population under 5 Percentile","Population over 64","Population over 64 Percentile","Heart disease in adults","Heart disease in adults Percentile","Asthma hospitalization rate","Asthma hospitalization rate Percentile","Life expectancy","Life expectancy Percentile","Low birth weight","Low birth weight Percentile","Cancer prevalence","Cancer prevalence Percentile","Diabetes prevalence","Diabetes prevalence Percentile","Mental health indicator","Mental health indicator Percentile","Percent people of color","Percent people of color Percentile","Percent less than high school education","Percent less than high school education Percentile","Percent low income","Percent low income Percentile","Percent linguistic isolation","Percent linguistic isolation Percentile","Percent disability","Percent disability Percentile","Housing cost burdened","Housing cost burdened Percentile","area","Justice40","Disproportionately Impacted Community","Total Population"
"Broomfield County","08014030200",14.29,13.21,41.34,29.22,5.35,24.17,15.29,2.67,38.65,27.07,61.01,17.22,31.13,34.19,8.65,79.98,6,31.47,45.19,48.28,8.17,75.66,0.04,39.31,0.31,69.16,640.36,69.31,0,44.44,0,35.87,0,2.64,46.84,66.37,0,0.69,0.09,59.49,0.17,29.3,0.64,55.48,0,80.54,0,72.94,NA,NA,25.63,50.12,1.5,73.02,400,62.53,18.6,60.53,0.03,12.33,0.06,9.21,1,3.31,871.5,78.74,NA,NA,4.86,15.98,5.2,27.05,11.8,32.61,5.3,18.52,0.2,38.51,0.03,30.02,0.19,37.14,0,24.7,0.07,24.72,0.26,34.74,"Census Tract",NA,NA,2052
"Douglas County","08035014504",37.25,71.5,44.39,39.87,5.75,58.7,77.98,6.48,48.11,39.1,42.25,61.68,55.72,61.09,24.9,37.39,88.87,66.21,47.19,89.91,6.14,36.19,0.28,70.06,0.15,33.25,573.29,65.06,0.03,81.18,0,58.05,0.02,18.98,41.97,31.31,0,30.68,0.03,38.35,0.05,8.25,1.46,80.06,0,80.54,0,72.94,35.71,30.6,86,79.98,2.77,80.94,51.29,18.57,17.2,26.5,0.07,79.18,0.18,68.21,2.3,39.68,842.05,76.57,79.7,50.42,8.72,76.74,6.7,58.94,13.7,64.9,7.1,53.22,0.16,28.74,0.06,50.28,0.25,52.02,0.03,75.87,0.14,77.22,0.35,67.94,"Census Tract",NA,NA,4637
"Pueblo County","08101000904",52.72,93.27,48.36,55.8,6.26,76.26,97.76,8.42,44.95,78.74,24.81,81.72,70.8,52.36,93.11,3.92,99.52,82.87,44.04,23.7,5.75,26.66,0.43,80.3,0.23,49.52,235.18,37.89,0,44.44,0.01,69.82,0.1,56.77,44.66,44.68,0.61,93.33,0.18,85.91,0.35,52.28,1.31,76.62,0,80.54,0.2,75.66,97.52,95.91,2.49,12.09,4.33,88.07,4382.93,90.71,14.4,3.92,0.07,67.09,0.28,94.88,5.4,96.29,1417.78,96.62,77.1,77.95,8.57,74.9,9.8,97.91,12.9,50.24,11.6,95.57,0.55,85.83,0.1,70.78,0.36,74.51,0.01,44.37,0.26,98.14,0.34,63.89,"Census Tract",NA,NA,3999
"Pueblo County","08101000905",44.8,83.19,44.78,41.55,5.8,69.99,93.51,7.73,41.63,73.55,22.29,69.8,70.18,43.07,88.23,3.52,95.84,82.47,44.07,24.98,5.76,26.98,0.1,53,0.22,45.89,492.73,60.23,0,44.44,0,30.9,0.1,56.77,45.09,48.84,1.02,95.32,0.16,82.71,0.2,34.43,1.84,86.47,0,80.54,0,72.94,88.13,84.48,0,7.77,4.77,89.35,4382.93,90.71,14.4,3.92,0.11,97.76,0.13,42.99,3.3,71.77,1159.9,91.38,71.1,98.42,8.19,69.71,5.1,24.72,18.5,97.58,9.7,86.15,0.6,89.19,0.07,59.25,0.65,98.14,0,24.7,0.21,94.35,0.58,98.87,"Census Tract",TRUE,NA,2242
"Pueblo County","08101001200",62.53,98.8,52.23,71.02,6.76,83.75,99.84,9.25,46.32,82.81,33.49,76.66,90.83,56.53,96.96,15.29,98.48,99.04,43.98,21.86,5.73,25.62,0.78,96.96,0.22,46.54,259.23,40.34,0.01,62.37,0,61.41,0.1,56.77,44.61,44.28,0.32,89.17,0.38,95.12,1.23,83.67,0.91,65.33,0,80.54,0,72.94,97.73,98.06,16.59,38.67,5.38,91.35,4382.93,90.71,14.4,3.92,0.09,89.35,0.12,38.27,4.4,91.94,1360.71,95.65,71.6,98.05,11.54,96.32,5.5,33.25,18.1,97.1,15.2,99.76,0.77,97.6,0.3,96.48,0.7,98.95,0.03,69.88,0.26,98.47,0.43,87.61,"Census Tract",TRUE,NA,2267
"Pueblo County","08101001800",43.6,81.75,41.91,31.39,5.43,72.78,95.52,8.03,44.35,62.68,16.26,76.85,68.71,50.12,73.02,2.08,98.56,80.54,44.08,25.3,5.68,23.3,0.79,97.2,0.17,36.39,488.86,59.74,0,44.44,0,25.54,0.1,56.77,48.62,82.71,0,43.15,0.37,94.8,0.76,73.1,0.27,34.51,0,80.54,0,72.94,NA,NA,0,7.77,0,51.64,4382.93,90.71,14.2,1.92,0.05,46.2,0.19,75.9,4.2,89.68,985.72,84.94,76.4,82.42,9.49,84.94,7.1,67.47,15.1,81.48,10.3,90.98,0.44,78.3,0.08,64.37,0.45,85.19,0.01,46.56,0.19,92.33,0.32,57,"Census Tract",TRUE,NA,2208
"Pueblo County","08101001900",39.47,75.5,43.72,37.23,5.66,63.15,84.23,6.97,43.42,68.63,19.44,68.35,57.94,48.44,82.95,2.48,94.72,69.58,44.05,24.02,5.69,23.86,0.88,99.2,0.18,38.24,244.42,38.79,0,48.76,0,28.26,0.1,56.77,48.65,83.11,0.01,53.47,0.71,99.2,1.01,80.06,0.36,41.87,0,80.54,0,72.94,NA,NA,0,7.77,0,51.64,4382.93,90.71,14.4,3.92,0.07,76.54,0.12,34.43,3.9,85.32,1456.16,97.1,78.5,65.02,7.69,62.93,6.1,46.78,15.5,85.35,10.4,91.3,0.45,79.34,0.07,59.81,0.53,92.48,0,24.7,0.23,96.04,0.27,36.36,"Census Tract",TRUE,NA,1624
"Pueblo County","08101002000",55.4,94.88,51.13,67.09,6.62,75.79,97.44,8.37,51.75,75.91,25.13,79.76,71.81,69.74,90.79,4.32,99.28,83.91,44.02,22.98,5.68,23.38,0.81,97.68,0.2,41.38,981.4,83.14,0.01,62.85,0.02,77.5,0.1,56.77,45.67,53.32,0.01,53.9,1.76,100,1.44,87.19,0.59,53.64,0,80.54,0,72.94,97.73,98.06,0.61,7.93,4.57,88.79,4382.93,90.71,15,6.24,0.07,72.3,0.17,64.05,4.6,93.15,1119.14,90.18,73.8,94.33,11.54,96.32,5.8,39.21,17.3,94.93,14.3,99.36,0.71,94.48,0.16,84.47,0.65,98.06,0,24.7,0.28,98.79,0.36,71.82,"Census Tract",TRUE,NA,3186
"Pueblo County","08101002100",55.92,95.6,51.62,68.37,6.68,75.78,97.36,8.37,54.66,70.79,26.36,56.11,95.45,76.14,85.75,5.84,81.43,100,44.04,23.54,5.67,22.58,0.85,98.8,0.17,36.96,960.84,82.41,0.03,80.3,0.05,86.55,0.1,56.77,47.16,69.02,0.01,47.05,0.84,99.36,1,79.82,0.68,57.41,0,80.54,0,72.94,NA,NA,3.8,16.49,0,51.64,4382.93,90.71,15,6.24,0.02,7.05,0.13,44.12,4,87.1,1394.81,96.22,68.8,99.72,7.41,58.66,5.8,39.21,16.8,92.67,14.8,99.6,0.84,98.56,0.25,93.59,0.58,96.12,0.09,91.9,0.3,99.6,0.47,93.2,"Census Tract",TRUE,NA,1394
"Pueblo County","08101002200",56.91,96.08,50.36,63.73,6.52,79.05,98.88,8.73,53.2,73.21,21.83,77.55,80.55,72.62,88.07,3.2,98.8,90.95,44.02,23.06,5.65,22.1,0.7,94.32,0.15,33.66,1487.54,89.93,0.05,84.95,0.09,91.91,0.1,56.77,45.62,52.92,0.01,50.61,0.49,96.96,0.79,74.3,1.12,71.9,0,80.54,0,72.94,NA,NA,0,7.77,0,51.64,4382.93,90.71,15,6.24,0.08,83.91,0.13,40.91,4.2,89.68,1874.64,99.19,70.4,98.98,10,89.04,5.8,39.21,18.1,97.1,13.7,98.95,0.58,87.43,0.15,83.51,0.67,98.38,0.01,39.51,0.28,98.71,0.52,97.49,"Census Tract",TRUE,NA,1577
