county_name,geoid20,geoid,enviroscreen_score_percentile,pollution_and_climate_burden_score_percentile,pollution_and_climate_burden_scale_value,health_and_social_factors_score_percentile,health_and_social_factors_scale_value,environmental_exposures_score_percentile,environmental_effects_score_percentile,climate_vulnerability_score_percentile,sensitive_populations_score_percentile,demographics_score_percentile,ozone_percentile,fine_particle_pollution_percentile,lead_exposure_risk_percentile,diesel_particulate_matter_(pm)_percentile,traffic_proximity_&_volume_percentile,air_toxics_emissions_percentile,other_air_pollutants_percentile,drinking_water_regulations_percentile,noise_percentile,wastewater_discharge_indicator_percentile,proximity_to_national_priorities_list_sites_percentile,proximity_to_risk_management_plan_sites_percentile,proximity_to_hazardous_waste_facilities_percentile,proximity_to_oil_and_gas_percentile,proximity_to_mining_locations_percentile,impaired_streams_and_rivers_percentile,wildfire_risk_percentile,floodplains_percentile,drought_percentile,extreme_heat_days_percentile,population_under_5_percentile,population_over_64_percentile,heart_disease_in_adults_percentile,asthma_hospitalization_rate_percentile,life_expectancy_percentile,low_birth_weight_percentile,cancer_prevalence_percentile,diabetes_prevalence_percentile,mental_health_indicator_percentile,percent_people_of_color_percentile,percent_less_than_high_school_education_percentile,percent_low_income_percentile,percent_linguistic_isolation_percentile,percent_disability_percentile,housing_cost_burdened_percentile,area,justice40,disproportionately_impacted_community,total_population
Adams County,08001007801,8001007801,87.35,62.77,6.49,89.19,7.34,51.16,81.59,43.07,43.96,99.92,12.89,93.27,69.98,80.03,83.88,44.44,22.5,13.77,91.11,33.1,73.18,71.74,65.25,80.54,72.94,93.32,26.34,72.46,32.51,60.53,79.66,3.84,27.74,97.18,92.74,76.57,2.9,98.55,95.17,98.32,99.84,97.33,100,78.43,99.11,Census Tract,TRUE,NA,4215
Adams County,08001007802,8001007802,88.39,59.57,6.4,92.15,7.59,60.13,85.35,11.93,57.57,99.6,15.37,92.95,68.05,88.97,89.28,52.2,27.14,13.77,85.19,53.99,66.05,71.66,81.59,80.54,72.94,NA,7.77,51.64,32.51,76.86,72.62,6.97,31.53,95.81,93.12,93.56,4.75,97.18,94.44,98.88,98.88,98.22,99.68,73.59,96.84,Census Tract,TRUE,NA,4389
Adams County,08001007900,8001007900,77.82,58.37,6.35,79.58,6.54,36.99,84.07,51.96,42.67,91.67,11.05,94.08,79.1,82.29,32.32,44.44,22.5,13.77,85.51,28.86,73.74,90.23,73.26,80.54,72.94,93.32,29.38,83.75,32.51,60.53,49.88,2.96,31.53,98.55,99.26,92.8,5.48,81.48,74.4,94.72,94,93.12,97.17,36.11,98.46,Census Tract,TRUE,NA,5627
Adams County,08001008000,8001008000,91.59,70.22,6.74,91.67,7.56,57.33,89.35,30.5,75.02,95.04,13.69,93.84,91.43,90.02,47.63,52.2,35.79,13.77,82.31,59.97,68.86,89.11,80.94,80.54,72.94,NA,19.46,51.64,32.51,76.86,86.47,28.98,23.71,90.66,77.02,52.89,16.75,89.86,93.16,95.04,96,92.72,96.68,46.93,93.85,Census Tract,TRUE,NA,5818
Adams County,08001008100,8001008100,76.06,67.17,6.62,71.34,6.02,50.04,73.98,66.05,40.43,84.63,17.05,92.87,8.65,89.77,93.78,60.21,86.87,13.77,79.82,53.03,67.97,83.27,96.72,80.54,72.94,23.06,40.43,77.74,32.51,76.86,17.05,30.58,48.55,99.84,37.12,5.02,56.68,62.96,73.35,78.54,74.38,89.08,92.71,30.05,99.03,Census Tract,NA,NA,1574
Adams County,08001008200,8001008200,99.2,93.92,8.06,94.96,7.91,80.22,89.27,79.5,91.75,89.03,14.01,94.72,79.74,89.86,95.17,71.66,88.55,13.77,76.7,63.08,73.02,93.84,80.86,80.54,72.94,63.69,48.52,97.28,32.51,88.79,90.87,26.5,55.81,86.47,80.84,95.73,33.25,76.89,88.81,94.56,93.19,75.81,87.61,75.36,52.47,Census Tract,NA,NA,6576
Adams County,08001008308,8001008308,97.36,86.71,7.53,94.56,7.84,78.94,84.47,60.05,87.67,92.39,17.85,92.63,52.92,83.66,93.21,85.35,85.99,13.77,81.02,34.14,66.93,84.15,88.55,80.54,72.94,80.82,31.14,72.62,32.51,86.63,58.61,28.34,55.81,97.42,97.3,62.93,24.72,86.63,89.69,95.92,89.03,90.86,99.19,45.23,85.75,Census Tract,TRUE,NA,5648
Adams County,08001008309,8001008309,92.79,87.99,7.63,83.19,6.9,73.02,85.43,75.1,71.1,86.07,20.74,90.15,45.4,75.44,68.41,90.87,85.35,13.77,74.3,37.35,62.13,97.68,80.22,80.54,72.94,80.82,59.17,79.02,32.51,76.86,94.16,5.92,45.24,94.04,89.77,75.31,15.54,93.48,90.42,98.48,96.8,88.11,99.6,23.42,87.37,Census Tract,TRUE,NA,4251
Adams County,08001008353,8001008353,84.39,77.1,7,77.5,6.46,39.95,84.63,84.87,77.5,75.18,31.14,75.58,25.54,36.31,30.69,98.8,97.36,13.77,36.11,30.24,61.25,93.27,70.86,91.43,72.94,99.46,66.77,90.15,32.51,88.79,84.23,43.96,31.53,86.63,54.79,88.03,15.54,76.89,66.34,84.07,90.71,63.11,93.2,34.17,41.13,Census Tract,NA,NA,8538
Adams County,08001008401,8001008401,60.13,36.67,5.65,63.73,5.49,21.7,57.49,72.94,73.9,56.04,29.3,56.04,54.52,24.88,4.09,98,93.19,13.77,25.38,NA,40.19,81.99,16.09,97.68,85.99,63.04,52.04,70.94,32.51,86.63,24.58,28.9,74.52,61.59,84.65,34.56,48.31,83.17,71.98,44.76,57.57,67.96,25.1,42.65,61.46,Census Tract,NA,NA,4978
